nom,ancien_id,nouvel_id,statut
"Matteo Guendouzi","532504","","introuvable"
"Matthijs de Ligt","326031","","introuvable"
"Matty Cash","592897","","introuvable"
"Maxime Crépeau","476090","","introuvable"
"Maximilian Wöber","560700","","introuvable"
"Maya Yoshida","196476","","introuvable"
"Mechak Jerome","486738","","introuvable"
"Mehdi Taremi","323773","","introuvable"
"Memphis Depay","153927","","introuvable"
"Merih Demiral","521788","","introuvable"
"Mert Günok","191898","","introuvable"
"Michael Gregoritsch","362680","","introuvable"
"Michael Olise","938227","","introuvable"
"Miguel Almirón","302479","","introuvable"
"Mike Maignan","281054","","introuvable"
"Mikel Merino","395060","","introuvable"
"Milad Mohammadi","224498","","introuvable"
"Milan Borjan","229521","","introuvable"
"Miles Robinson","598218","","introuvable"
"Miralem Pjanić","95810","","introuvable"
"Mitchell Duke","268892","","introuvable"
"Mohamed Salah","94878","","introuvable"
"Mohammed Al-Burayk","352264","","introuvable"
"Mohammed Al-Owais","442454","","introuvable"
"Mohammed Al-Qasem","519043","","introuvable"
"Mohammed Kudus","826375","","introuvable"
"Mohammed Muntari","601777","","introuvable"
"Mohanad Laftah","431830","","introuvable"
"Moisés Caicedo","849706","","introuvable"
"Mostafa Meshaal","548723","","introuvable"
"Mostafa Mohamed","590249","","introuvable"
"Mubarak Wakaso","186059","","introuvable"
"Musa Al-Taamari","606521","","introuvable"
"N'Golo Kanté","129138","","introuvable"
"Nahuel Molina","553906","","introuvable"
"Nampalys Mendy","204289","","introuvable"
"Nassim Boujellab","527598","","introuvable"
"Nathan Aké","233144","","introuvable"
"Nayef Aguerd","452104","","introuvable"
"Néstor Araujo","226546","","introuvable"
"Neven Đurić","239866","","introuvable"
"Niclas Füllkrug","84029","","introuvable"
"Nico Schlotterbeck","761024","","introuvable"
"Nico Williams","1019889","","introuvable"
"Nicola Zalewski","934434","","introuvable"
"Nicolas Jackson","930165","","introuvable"
"Nicolás Otamendi","68887","","introuvable"
"Nicolas Pépé","401517","","introuvable"
"Nicolas Seiwald","826453","","introuvable"
"Nicolás Tagliafico","212632","","introuvable"
"Nika Kvekveskiri","286578","","introuvable"
"Noah Okafor","833025","","introuvable"
"Nuno Mendes","898651","","introuvable"
"Oliver Baumann","78488","","introuvable"
"Omar Marmoush","546399","","introuvable"
"Ondřej Čelůstka","116440","","introuvable"
"Ørjan Nyland","127049","","introuvable"
"Óscar Romero","216706","","introuvable"
"Otabek Shukurov","521478","","introuvable"
"Otar Kakabadze","442490","","introuvable"
"Oumar Diakité","834680","","introuvable"
"Ousmane Dembélé","415289","","introuvable"
"Pape Gueye","517695","","introuvable"
"Patrick Bamford","283272","","introuvable"
"Patrick Pentz","452527","","introuvable"
"Patrick Wimmer","724540","","introuvable"
"Patrik Schick","211747","","introuvable"
"Pau Cubarsí","1401360","","introuvable"
"Paulo Dybala","137252","","introuvable"
"Pedri","768302","","introuvable"
"Pedro Miguel","226393","","introuvable"
"Pedro Neto","698543","","introuvable"
"Pepe","2477","","introuvable"
"Percy Tau","447891","","introuvable"
"Pervis Estupiñán","545326","","introuvable"
"Phil Foden","569537","","introuvable"
"Philipp Lienhart","370870","","introuvable"
"Piero Hincapié","849705","","introuvable"
"Piotr Zieliński","159016","","introuvable"
"Rafael Leão","735275","","introuvable"
"Rafael Santos Borré","521329","","introuvable"
"Rais M'Bolhi","100893","","introuvable"
"Randal Kolo Muani","948373","","introuvable"
"Raúl Jiménez","211872","","introuvable"
"Reece James","660081","","introuvable"
"Remo Freuler","212507","","introuvable"
"Ricardo Pepi","908394","","introuvable"
"Ricardo Rodríguez","143229","","introuvable"
"Richarlison","281990","","introuvable"
"Riley McGree","518398","","introuvable"
"Riquelme Angulo","960452","","introuvable"
"Ritsu Dōan","472521","","introuvable"
"Riyad Mahrez","175619","","introuvable"
"Robert Andrich","612415","","introuvable"
"Robert Lewandowski","38253","","introuvable"
"Robert Morales","465320","","introuvable"
"Robert Sánchez","720605","","introuvable"
"Roberto Alvarado","581534","","introuvable"
"Robin Le Normand","673367","","introuvable"
"Rodri","663040","","introuvable"
"Rodrigo Bentancur","530545","","introuvable"
"Rodrigo De Paul","338779","","introuvable"
"Rodrygo","622782","","introuvable"
"Romain Saïss","193468","","introuvable"
"Romano Schmid","729943","","introuvable"
"Romelu Lukaku","46069","","introuvable"
"Ronald Araújo","772669","","introuvable"
"Ronwen Williams","325699","","introuvable"
"Rony","533785","","introuvable"
"Rúben Dias","584596","","introuvable"
"Rúben Neves","289713","","introuvable"
"Rúben Semedo","205488","","introuvable"
"Ruben Vargas","644634","","introuvable"
"Rui Patrício","8218","","introuvable"
"Ryan Christie","355791","","introuvable"
"Ryan Fraser","216085","","introuvable"
"Ryan Gravenberch","861010","","introuvable"
"Ryan Mendes","274213","","introuvable"
"Sadio Mané","103706","","introuvable"
"Saeid Ezatolahi","317793","","introuvable"
"Salem Al-Dawsari","331320","","introuvable"
"Salih Özcan","624539","","introuvable"
"Sami Al-Najei","400741","","introuvable"
"Samuel Adekugbe","386765","","introuvable"
"Sander Berge","539466","","introuvable"
"Santiago Arzamendia","457571","","introuvable"
"Santiago Giménez","866613","","introuvable"
"Sardar Azmoun","353893","","introuvable"
"Scott McTominay","460514","","introuvable"
"Sead Kolašinac","153600","","introuvable"
"Sebastian Szymański","638379","","introuvable"
"Sébastien Haller","261440","","introuvable"
"Seifeddine Jaziri","328456","","introuvable"
"Serdar Dursun","283396","","introuvable"
"Serge Aurier","204895","","introuvable"
"Sergiño Dest","650919","","introuvable"
"Silvan Widmer","210508","","introuvable"
"Simon Adingra","982568","","introuvable"
"Simon Deli","259266","","introuvable"
"Simon Mignolet","65843","","introuvable"
"Siyanda Xulu","261524","","introuvable"
"Sofiane Boufal","215629","","introuvable"
"Sofiane Feghouli","100894","","introuvable"
"Son Heung-min","177003","","introuvable"
"Soufiane Rahimi","693629","","introuvable"
"Stefan de Vrij","149907","","introuvable"
"Stefan Marinović","396321","","introuvable"
"Stefan Posch","519077","","introuvable"
"Stephen Eustáquio","647783","","introuvable"
"Steven Fortes","256121","","introuvable"
"Steven Vitoria","152882","","introuvable"
"Stopira","193494","","introuvable"
"Strahinja Pavlović","918041","","introuvable"
"Stuart Armstrong","225046","","introuvable"
"Tajon Buchanan","764568","","introuvable"
"Takehiro Tomiyasu","581098","","introuvable"
"Takuma Asano","282694","","introuvable"
"Takuma Nishimura","951802","","introuvable"
"Teboho Mokoena","529851","","introuvable"
"Temur Juraev","587234","","introuvable"
"Teun Koopmeiners","682765","","introuvable"
"Themba Zwane","311618","","introuvable"
"Théo Bongonda","430965","","introuvable"
"Theo Hernandez","476985","","introuvable"
"Thibaut Courtois","75473","","introuvable"
"Thomas Müller","58358","","introuvable"
"Thomas Partey","235243","","introuvable"
"Tijjani Reijnders","794921","","introuvable"
"Tim Ream","143685","","introuvable"
"Tim Weah","648906","","introuvable"
"Timothy Castagne","313387","","introuvable"
"Tobias Sippel","101498","","introuvable"
"Toby Alderweireld","47436","","introuvable"
"Tomáš Holeš","367823","","introuvable"
"Tomáš Souček","498497","","introuvable"
"Toni Kroos","39984","","introuvable"
"Tornike Okriashvili","244396","","introuvable"
"Trent Alexander-Arnold","537898","","introuvable"
"Tyler Adams","664975","","introuvable"
"Unai Simón","415054","","introuvable"
"Vinicius Junior","346101","","introuvable"
"Virgil van Dijk","139208","","introuvable"
"Vitinha","880654","","introuvable"
"Vladimír Coufal","343791","","introuvable"
"Vozinha","256124","","introuvable"
"Wahbi Khazri","186291","","introuvable"
"Walker Zimmerman","404818","","introuvable"
"Warren Zaïre-Emery","1210432","","introuvable"
"Wataru Endō","544645","","introuvable"
"Weston McKennie","511726","","introuvable"
"Weverton","135595","","introuvable"
"Wilfried Zaha","196038","","introuvable"
"William Saliba","791027","","introuvable"
"Wílmar Barrios","355975","","introuvable"
"Winston Reid","156234","","introuvable"
"Wojciech Szczęsny","68102","","introuvable"
"Wout Faes","719609","","introuvable"
"Wout Weghorst","280510","","introuvable"
"Xavi Simons","1101459","","introuvable"
"Xherdan Shaqiri","69845","","introuvable"
"Yahia Fofana","584694","","introuvable"
"Yann Sommer","97045","","introuvable"
"Yannick Bolasie","128742","","introuvable"
"Yasser Al-Yaseen","462381","","introuvable"
"Yassine Bounou","193469","","introuvable"
"Yassine Meriah","344413","","introuvable"
"Yazan Al-Naimat","686432","","introuvable"
"Yerry Mina","330948","","introuvable"
"Youcef Atal","368073","","introuvable"
"Youri Tielemans","342229","","introuvable"
"Youssef En-Nesyri","302656","","introuvable"
"Youssef Msakni","172558","","introuvable"
"Youssouf Fofana","649843","","introuvable"
"Yunus Akgün","741289","","introuvable"
"Yunus Musah","866559","","introuvable"
"Yuto Nagatomo","97774","","introuvable"
"Zack Steffen","346975","","introuvable"
"Zeki Amdouni","908267","","introuvable"
"Zeki Çelik","274200","","introuvable"
"Zeno Debast","960026","","introuvable"
"Zion Suzuki","1107474","","introuvable"
"Zuriko Davitashvili","811562","","introuvable"
